700  [main] ERROR wdsr.exercise4.Main [] - Broker: localhost - Client: RAFZZ already connected from tcp://127.0.0.1:63761
774857 [main] INFO  wdsr.exercise4.Main [] - message 'test_397'
774857 [main] INFO  wdsr.exercise4.Main [] - message 'test_398'
774857 [main] INFO  wdsr.exercise4.Main [] - message 'test_399'
774857 [main] INFO  wdsr.exercise4.Main [] - message 'test_400'
774857 [main] INFO  wdsr.exercise4.Main [] - message 'test_401'
774857 [main] INFO  wdsr.exercise4.Main [] - message 'test_402'
774857 [main] INFO  wdsr.exercise4.Main [] - message 'test_403'
774857 [main] INFO  wdsr.exercise4.Main [] - message 'test_404'
774858 [main] INFO  wdsr.exercise4.Main [] - message 'test_405'
774858 [main] INFO  wdsr.exercise4.Main [] - message 'test_406'
774858 [main] INFO  wdsr.exercise4.Main [] - message 'test_407'
774858 [main] INFO  wdsr.exercise4.Main [] - message 'test_408'
774858 [main] INFO  wdsr.exercise4.Main [] - message 'test_409'
774858 [main] INFO  wdsr.exercise4.Main [] - message 'test_410'
774858 [main] INFO  wdsr.exercise4.Main [] - message 'test_411'
774858 [main] INFO  wdsr.exercise4.Main [] - message 'test_412'
